
央视,#genre#
中视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ctv
华视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cts
TVBS 欢乐台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvbs-huanle
客家电视台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=hakkatv
公视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=pts
公视3台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=pts-3
公视台语台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=pts-ty
大爱一台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=daai1
大爱二台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=daai2

台湾影音,#genre#
民视第一台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ftv-one
民视影剧,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ftv-drama
民视综艺,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ftv-reality
民视旅游,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ftv-travel
中天娱乐,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cti-yule
纬来戏剧,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=videoland-drama
八大娱乐,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=gtv-86
八大戏剧,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=gtv-41
三立戏剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=settv-drama
中视经典台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ctv-classic
八大综艺,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=grt
八大精彩台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=gtv-jct
ELTA 娱乐台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=elta-ylt
视纳华仁纪实频道,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cnex
靖天戏剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=jtxjt
公视戏剧,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=gsxj
采昌影剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=caichang
靖天映画,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=jtyh
龙华日韩台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ltv-rihan
龙华戏剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ltv-xiju
影迷数字电影台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=fans-cinema
影迷数位纪实台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ymswjst
纬来电影台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=videoland-movie
东森电影,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ebc-movie
东森洋片,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ebc-emovie
龙华电影台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ltv-movies
龙祥电影台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=lstime
MTV Live HD 频道,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=mtv
靖天电影台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=jtdy
靖洋戏剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=jyxj
美亚电影台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=meiah-movies

台湾新闻财经,#genre#
中视新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ctv-news
中天新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cti-news
民视新闻台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ftv-news
三立新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=settv-news
三立iNews,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=settv-inews
非凡新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=unique-business-news
SBN 全球财经台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=sbn
靖天资讯台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=jtzx
