山东联通,#genre#
CCTV11,http://vpn.1023.ltd:8888/udp/239.253.224.12:8000
CCTV12,http://vpn.1023.ltd:8888/udp/239.253.224.237:8000
CCTV13,http://vpn.1023.ltd:8888/udp/239.253.224.14:8000
CCTV14,http://vpn.1023.ltd:8888/udp/239.253.224.238:8000
CCTV15,http://vpn.1023.ltd:8888/udp/239.253.224.16:8000
CCTV17,http://vpn.1023.ltd:8888/udp/239.253.224.168:8000
CGTV,http://vpn.1023.ltd:8888/udp/239.253.224.17:8000
CETV1,http://vpn.1023.ltd:8888/udp/239.253.224.110:8000
CETV2,http://vpn.1023.ltd:8888/udp/239.253.224.107:8000
CETV4,http://vpn.1023.ltd:8888/udp/239.253.224.108:8000
山东卫视,http://vpn.1023.ltd:8888/udp/239.253.224.78:8000
湖南卫视,http://vpn.1023.ltd:8888/udp/239.253.224.82:8000
江苏卫视,http://vpn.1023.ltd:8888/udp/239.253.224.83:8000
浙江卫视,http://vpn.1023.ltd:8888/udp/239.253.224.84:8000
北京卫视,http://vpn.1023.ltd:8888/udp/239.253.224.85:8000
东方卫视,http://vpn.1023.ltd:8888/udp/239.253.224.86:8000
安徽卫视,http://vpn.1023.ltd:8888/udp/239.253.224.87:8000
湖北卫视,http://vpn.1023.ltd:8888/udp/239.253.224.88:8000
天津卫视,http://vpn.1023.ltd:8888/udp/239.253.224.89:8000
广东卫视,http://vpn.1023.ltd:8888/udp/239.253.224.90:8000
深圳卫视,http://vpn.1023.ltd:8888/udp/239.253.224.91:8000
辽宁卫视,http://vpn.1023.ltd:8888/udp/239.253.224.92:8000
黑龙江卫视,http://vpn.1023.ltd:8888/udp/239.253.224.93:8000
东南卫视,http://vpn.1023.ltd:8888/udp/239.253.224.105:8000
旅游卫视,http://vpn.1023.ltd:8888/udp/239.253.224.35:8000
重庆卫视,http://vpn.1023.ltd:8888/udp/239.253.224.38:8000
广西卫视,http://vpn.1023.ltd:8888/udp/239.253.224.40:8000
云南卫视,http://vpn.1023.ltd:8888/udp/239.253.224.42:8000
河南卫视,http://vpn.1023.ltd:8888/udp/239.253.224.44:8000
吉林卫视,http://vpn.1023.ltd:8888/udp/239.253.224.46:8000
江西卫视,http://vpn.1023.ltd:8888/udp/239.253.224.47:8000
山西卫视,http://vpn.1023.ltd:8888/udp/239.253.224.48:8000
陕西卫视,http://vpn.1023.ltd:8888/udp/239.253.224.49:8000
四川卫视,http://vpn.1023.ltd:8888/udp/239.253.224.50:8000
甘肃卫视,http://vpn.1023.ltd:8888/udp/239.253.224.52:8000
宁夏卫视,http://vpn.1023.ltd:8888/udp/239.253.224.53:8000
青海卫视,http://vpn.1023.ltd:8888/udp/239.253.224.54:8000
西藏卫视,http://vpn.1023.ltd:8888/udp/239.253.224.56:8000
兵团卫视,http://vpn.1023.ltd:8888/udp/239.253.224.57:8000
内蒙古卫视,http://vpn.1023.ltd:8888/udp/239.253.224.58:8000
山东教育卫视,http://vpn.1023.ltd:8888/udp/239.253.224.59:8000
新疆卫视,http://vpn.1023.ltd:8888/udp/239.253.224.60:8000
农林卫视,http://vpn.1023.ltd:8888/udp/239.253.224.70:8000
河北卫视,http://vpn.1023.ltd:8888/udp/239.253.224.112:8000
贵州卫视,http://vpn.1023.ltd:8888/udp/239.253.224.113:8000
厦门卫视,http://vpn.1023.ltd:8888/udp/239.253.224.106:8000
CCTV1,http://www.cjtt.love:9307/rtp/239.253.250.77:8000
CCTV2,http://www.cjtt.love:9307/rtp/239.253.250.234:8000
CCTV3,http://www.cjtt.love:9307/rtp/239.253.250.4:8000
CCTV4,http://www.cjtt.love:9307/rtp/239.253.250.111:8000
CCTV5,http://www.cjtt.love:9307/rtp/239.253.250.6:8000
CCTV5+,http://www.cjtt.love:9307/rtp/239.253.250.80:8000
CCTV6,http://www.cjtt.love:9307/rtp/239.253.250.7:8000
CCTV7,http://www.cjtt.love:9307/rtp/239.253.250.235:8000
CCTV8,http://www.cjtt.love:9307/rtp/239.253.250.9:8000
CCTV9,http://www.cjtt.love:9307/rtp/239.253.250.79:8000
CCTV10,http://www.cjtt.love:9307/rtp/239.253.250.236:8000
CCTV11,http://www.cjtt.love:9307/rtp/239.253.250.12:8000
CCTV12,http://www.cjtt.love:9307/rtp/239.253.250.237:8000
CCTV13,http://www.cjtt.love:9307/rtp/239.253.250.14:8000
CCTV14,http://www.cjtt.love:9307/rtp/239.253.250.238:8000
CCTV15,http://www.cjtt.love:9307/rtp/239.253.250.16:8000
CCTV17,http://www.cjtt.love:9307/rtp/239.253.250.168:8000
CGTV,http://www.cjtt.love:9307/rtp/239.253.250.17:8000
CETV1,http://www.cjtt.love:9307/rtp/239.253.250.110:8000
CETV2,http://www.cjtt.love:9307/rtp/239.253.250.107:8000
CETV4,http://www.cjtt.love:9307/rtp/239.253.250.108:8000
山东卫视,http://www.cjtt.love:9307/rtp/239.253.250.78:8000
湖南卫视,http://www.cjtt.love:9307/rtp/239.253.250.82:8000
江苏卫视,http://www.cjtt.love:9307/rtp/239.253.250.83:8000
浙江卫视,http://www.cjtt.love:9307/rtp/239.253.250.84:8000
